city,forecast_time,outlook,detailed_outlook,temperature,temperature_feels_like,clouds,rain,snow,wind_speed,wind_deg,humidity,pressure
Berlin,2023-02-10 12:00:00,Clouds,broken clouds,4.47,0.83,75,0.0,0,4.69,261,81,1024
Berlin,2023-02-10 15:00:00,Clouds,broken clouds,4.48,1.18,83,0.0,0,4.07,249,79,1027
Berlin,2023-02-10 18:00:00,Clouds,overcast clouds,2.91,-0.93,90,0.0,0,4.36,239,83,1030
Berlin,2023-02-10 21:00:00,Clouds,broken clouds,1.6,-2.96,81,0.0,0,5.08,234,79,1032
Berlin,2023-02-11 00:00:00,Clouds,overcast clouds,2.33,-2.28,90,0.0,0,5.54,243,81,1030
Berlin,2023-02-11 03:00:00,Clouds,overcast clouds,3.08,-1.28,100,0.0,0,5.44,252,84,1028
Berlin,2023-02-11 06:00:00,Clouds,overcast clouds,3.58,-0.67,100,0.0,0,5.48,252,91,1027
Berlin,2023-02-11 09:00:00,Clouds,overcast clouds,4.24,-0.02,100,0.0,0,5.89,259,93,1027
Berlin,2023-02-11 12:00:00,Clouds,overcast clouds,5.46,1.37,100,0.0,0,6.29,266,92,1028
Berlin,2023-02-11 15:00:00,Clouds,overcast clouds,6.57,2.72,100,0.0,0,6.45,284,87,1028
Berlin,2023-02-11 18:00:00,Clouds,overcast clouds,6.59,3.17,100,0.0,0,5.36,281,93,1029
Berlin,2023-02-11 21:00:00,Rain,light rain,6.7,3.92,99,0.12,0,4.06,291,93,1031
Berlin,2023-02-12 00:00:00,Clouds,overcast clouds,6.13,4.07,98,0.0,0,2.72,280,97,1032
Berlin,2023-02-12 03:00:00,Clouds,overcast clouds,6.44,3.92,100,0.0,0,3.49,283,98,1033
Berlin,2023-02-12 06:00:00,Clouds,overcast clouds,6.46,3.76,100,0.0,0,3.81,294,95,1034
Berlin,2023-02-12 09:00:00,Clouds,overcast clouds,7.42,4.8,100,0.0,0,4.07,297,80,1036
Berlin,2023-02-12 12:00:00,Clouds,overcast clouds,9.67,7.46,91,0.0,0,4.3,288,70,1035
Berlin,2023-02-12 15:00:00,Clouds,scattered clouds,9.68,7.81,37,0.0,0,3.58,288,72,1035
Berlin,2023-02-12 18:00:00,Clouds,scattered clouds,6.56,4.83,27,0.0,0,2.4,272,89,1036
Berlin,2023-02-12 21:00:00,Clouds,broken clouds,5.24,3.26,77,0.0,0,2.41,266,95,1036
Berlin,2023-02-13 00:00:00,Clouds,overcast clouds,4.22,2.0,85,0.0,0,2.47,257,96,1036
Berlin,2023-02-13 03:00:00,Clouds,broken clouds,3.37,1.02,70,0.0,0,2.44,258,96,1036
Berlin,2023-02-13 06:00:00,Clouds,broken clouds,2.78,0.41,53,0.0,0,2.35,263,97,1035
Berlin,2023-02-13 09:00:00,Clouds,few clouds,5.28,2.95,13,0.0,0,2.85,269,86,1036
Berlin,2023-02-13 12:00:00,Clear,clear sky,8.85,6.8,8,0.0,0,3.58,278,71,1034
Berlin,2023-02-13 15:00:00,Clear,clear sky,8.99,7.35,2,0.0,0,2.91,284,73,1034
Berlin,2023-02-13 18:00:00,Clear,clear sky,5.8,3.94,1,0.0,0,2.39,285,89,1033
Berlin,2023-02-13 21:00:00,Clear,clear sky,4.42,2.5,0,0.0,0,2.19,289,92,1034
Berlin,2023-02-14 00:00:00,Clear,clear sky,3.49,1.7,0,0.0,0,1.92,302,94,1034
Berlin,2023-02-14 03:00:00,Clear,clear sky,2.83,0.91,0,0.0,0,1.94,296,94,1033
Berlin,2023-02-14 06:00:00,Clear,clear sky,2.32,2.32,0,0.0,0,0.91,314,92,1034
Berlin,2023-02-14 09:00:00,Clear,clear sky,5.15,5.15,3,0.0,0,0.44,19,77,1034
Berlin,2023-02-14 12:00:00,Clear,clear sky,8.48,8.48,4,0.0,0,1.01,102,61,1033
Berlin,2023-02-14 15:00:00,Clear,clear sky,8.82,8.38,5,0.0,0,1.43,106,62,1032
Berlin,2023-02-14 18:00:00,Clear,clear sky,5.7,3.85,6,0.0,0,2.36,120,80,1031
Berlin,2023-02-14 21:00:00,Clear,clear sky,4.17,2.03,8,0.0,0,2.38,125,86,1031
Berlin,2023-02-15 00:00:00,Clear,clear sky,3.15,0.72,5,0.0,0,2.49,122,88,1030
Berlin,2023-02-15 03:00:00,Clear,clear sky,2.52,-0.42,0,0.0,0,2.94,115,87,1029
Berlin,2023-02-15 06:00:00,Clear,clear sky,2.13,-1.3,0,0.0,0,3.47,119,87,1028
Berlin,2023-02-15 09:00:00,Clear,clear sky,5.07,1.95,0,0.0,0,4.0,129,71,1027
Hamburg,2023-02-10 12:00:00,Clouds,overcast clouds,4.61,0.89,100,0.0,0,4.92,243,88,1033
Hamburg,2023-02-10 15:00:00,Clouds,overcast clouds,4.58,0.84,100,0.0,0,4.95,241,87,1032
Hamburg,2023-02-10 18:00:00,Clouds,overcast clouds,3.9,-0.15,100,0.0,0,5.23,235,88,1031
Hamburg,2023-02-10 21:00:00,Clouds,overcast clouds,3.72,-0.76,100,0.0,0,6.08,241,85,1029
Hamburg,2023-02-11 00:00:00,Clouds,overcast clouds,3.82,-0.47,100,0.0,0,5.7,248,87,1029
