product_id,product_category_name,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
00066f42aeeb9f3007548bb9d3f33c38,perfumaria,53,596,6,300,20,16,16
00088930e925c41fd95ebfe695fd2655,automotivo,56,752,4,1225,55,10,26
0009406fd7479715e4bef61dd91f2462,cama_mesa_banho,50,266,2,300,45,15,35
000b8f95fcb9e0096488278317764d19,utilidades_domesticas,25,364,3,550,19,24,12
000d9be29b5207b54e86aa1b1ac54872,relogios_presentes,48,613,4,250,22,11,15
0011c512eb256aa0dbbb544d8dffcf6e,automotivo,58,177,1,100,16,15,16
00126f27c813603687e6ce486d909d01,cool_stuff,42,2461,1,700,25,5,15
001795ec6f1b187d37335e1c4704762e,consoles_games,53,274,1,600,30,20,20
001b237c0e9bb435f2e54071129237e9,cama_mesa_banho,42,253,1,6000,40,4,30
001b72dfd63e9833e8c02742adf472e3,moveis_decoracao,45,520,3,600,26,8,22
001c5d71ac6ad696d22315953758fa04,cama_mesa_banho,50,381,1,1800,47,21,41
00210e41887c2a8ef9f791ebc780cc36,beleza_saude,56,3893,6,300,30,15,15
002159fe700ed3521f46cfcf6e941c76,fashion_calcados,55,344,3,1850,36,37,16
0021a87d4997a48b6cef1665602be0f5,informatica_acessorios,58,946,6,650,25,10,15
00250175f79f584c14ab5cecd80553cd,utilidades_domesticas,53,631,2,750,30,5,35
002552c0663708129c0019cc97552d7d,cool_stuff,18,263,1,355,22,16,12
002959d7a0b0990fe2d69988affcbc80,moveis_decoracao,54,1750,3,2600,105,3,70
002af88741ba70c7b5cf4e4a0ad7ef85,cool_stuff,44,629,3,600,40,30,40
002c6dab60557c48cfd6c2222ef7fd76,brinquedos,43,112,5,350,45,30,30
002d4ea7c04739c130bb74d7e7cd1694,pet_shop,59,1295,1,200,20,11,11
002ec297b1b00fb9dde7ee6ac24b6771,utilidades_domesticas,36,707,3,150,20,10,15
0030026a6ddb3b2d1d4bc225b4b4c4da,esporte_lazer,28,502,4,800,25,25,25
0030e635639c898b323826589761cf23,ferramentas_jardim,40,437,1,1550,26,6,20
003128f981470c3e5a2e7445e4a771cd,esporte_lazer,59,1100,6,1550,16,10,16
0036bb031e69d915cd384d1b3838b5d3,ferramentas_jardim,53,866,3,200,18,5,13
003938452c98ff9ab28e9e7b4bfe97ab,moveis_sala,52,420,2,5050,50,8,50
003962cb74a8b43cf1034fed541a76f0,malas_acessorios,55,214,1,1000,16,46,36
003a31970fea14fffe92ac856b8a9b97,casa_construcao,55,900,4,1850,45,12,45
003c0b8f6580c850bd2e32044d2ac307,moveis_cozinha_area_de_servico_jantar_e_jardim,55,705,2,21100,100,20,60
003dbcabcf8e3231de657c7d9f9a5eba,esporte_lazer,43,1213,1,1800,30,22,22
004154251837f6ac124ad4374b3a8148,moveis_decoracao,51,1470,3,150,35,2,25
0042f1a9a7e0edd1400c6cd0fda065f8,beleza_saude,60,1883,3,175,23,11,13
0043c62d00db47eff6a6bc4cf6bfaeda,esporte_lazer,36,1105,1,380,18,12,14
0043d1a25ef08fb6f41b8fa6f91742ab,construcao_ferramentas_construcao,59,1691,1,20400,30,30,30
0044d70d4e53450c0fbb8255446a797b,esporte_lazer,51,695,1,200,20,18,18
004552d98c5d3653af8b4dbe8def0048,moveis_decoracao,50,319,1,900,100,11,12
004636c889c7c3dad6631f136b7fa082,utilidades_domesticas,46,647,1,550,30,10,25
004ffcbfa5aac82212a95bc972ea8a85,moveis_quarto,44,776,2,10000,65,35,35
005030ef108f58b46b78116f754d8d38,perfumaria,54,942,1,50,16,5,11
005c6b24cc96dca3e2c01e824401030e,fashion_roupa_masculina,33,384,1,400,17,7,20
0060b415594c5e1200324ef1a18493c4,esporte_lazer,59,3029,1,1200,20,20,20
00636f9286f69c9f1bdabe76e670fb50,moveis_decoracao,60,382,1,500,25,2,17
006508eabcc19ae52ed87323124ad0e9,construcao_ferramentas_seguranca,50,984,2,246,22,15,19
006619bbed68b000c8ba3f8725d5409e,beleza_saude,45,569,1,150,16,7,15
0067f97995b0c3a86739734dc87ee6b6,fashion_bolsas_e_acessorios,59,412,1,200,16,2,11
006baa9a5b8f95895f15273a35bc2664,esporte_lazer,33,223,2,950,60,15,15
006c67546bfe73c33b83f6bd1ad58c36,automotivo,59,703,6,4550,47,19,23
00716e5593e8eea55dbe7a29b72a70bc,fraldas_higiene,49,326,1,250,20,20,20
00738f5a17ec4450e88915357b085c1e,brinquedos,37,670,2,600,17,15,22
0075c14603d80515e20908c156ceb47b,esporte_lazer,50,329,2,150,16,18,16
007c63ae4b346920756b5adcad8095de,utilidades_domesticas,48,808,1,2800,30,30,30
0081787b18cce4acc2d1adec4520d7ba,construcao_ferramentas_seguranca,56,841,1,1340,32,14,27
0082684bb4a60a862baaf7a60a5845ed,outros,NULL,NULL,NULL,500,24,4,15
0085dddda27567189f1dfd1eda7c286e,cama_mesa_banho,58,593,1,1800,40,8,30
008686d56f4c85b987a4c24a286834c1,cama_mesa_banho,44,216,1,2200,37,10,32
00878d953636afec00d3e85d55a12e7f,beleza_saude,59,1631,4,2550,38,42,25
008b0ec3de3638637099f97add750136,beleza_saude,48,516,1,690,17,17,13
008b51e6be49ee039854b5e35c331b02,relogios_presentes,57,676,2,633,19,12,17
008cff0e5792219fae03e570f980b330,esporte_lazer,59,1735,5,1550,40,20,20
00905d58c87afcbce21420b3712cacaa,cama_mesa_banho,59,253,1,3875,46,12,43
00917855135d67fb060dcd81863166a4,informatica_acessorios,55,197,1,1133,16,16,11
0091d85023824de2d33252310c952307,utilidades_domesticas,39,169,4,450,16,24,11
00929aaa7751a77220db9caa1ae6d3ab,utilidades_domesticas,56,279,2,2800,50,35,15
