"zip_code_prefix";"state"
1001;"SP"
1002;"SP"
1003;"SP"
1004;"SP"
1005;"SP"
1006;"SP"
1007;"SP"
1008;"SP"
1009;"SP"
1010;"SP"
1011;"SP"
1012;"SP"
1013;"SP"
1014;"SP"
1015;"SP"
1016;"SP"
1017;"SP"
1018;"SP"
1019;"SP"
1020;"SP"
1021;"SP"
1022;"SP"
1023;"SP"
1024;"SP"
1025;"SP"
1026;"SP"
1027;"SP"
1028;"SP"
1029;"SP"
1030;"SP"
1031;"SP"
1032;"SP"
1033;"SP"
1034;"SP"
1035;"SP"
1036;"SP"
1037;"SP"
1038;"SP"
1039;"SP"
1040;"SP"
1041;"SP"
1042;"SP"
1043;"SP"
1044;"SP"
1045;"SP"
1046;"SP"
1047;"SP"
1048;"SP"
1049;"SP"
1050;"SP"
1101;"SP"
1102;"SP"
1103;"SP"
1104;"SP"
1105;"SP"
1106;"SP"
1107;"SP"
1108;"SP"
1109;"SP"
1120;"SP"
1121;"SP"
1122;"SP"
1123;"SP"
1124;"SP"
1125;"SP"
1126;"SP"
1127;"SP"
1128;"SP"
1129;"SP"
1130;"SP"
1131;"SP"
1132;"SP"
1133;"SP"
1134;"SP"
1135;"SP"
1136;"SP"
1137;"SP"
1138;"SP"
1139;"SP"
1140;"SP"
1141;"SP"
1142;"SP"
1144;"SP"
1150;"SP"
1151;"SP"
1152;"SP"
1153;"SP"
1154;"SP"
1155;"SP"
1156;"SP"
1189;"SP"
1200;"SP"
1201;"SP"
1202;"SP"
1203;"SP"
1204;"SP"
1205;"SP"
1206;"SP"
1207;"SP"
1208;"SP"
1209;"SP"
1210;"SP"
1211;"SP"
1212;"SP"
1213;"SP"
1214;"SP"
1215;"SP"
1216;"SP"
1217;"SP"
1218;"SP"
1219;"SP"
1220;"SP"
1221;"SP"
1222;"SP"
1223;"SP"
1224;"SP"
1225;"SP"
1226;"SP"
1227;"SP"
1228;"SP"
1229;"SP"
1230;"SP"
1231;"SP"
1232;"SP"
1233;"SP"
1234;"SP"
1235;"SP"
1236;"SP"
1237;"SP"
1238;"SP"
1239;"SP"
1240;"SP"
1241;"SP"
1242;"SP"
1243;"SP"
1244;"SP"
1245;"SP"
1246;"SP"
1247;"SP"
1248;"SP"
1249;"SP"
1250;"SP"
1251;"SP"
1252;"SP"
1253;"SP"
1254;"SP"
1255;"SP"
1256;"SP"
1257;"SP"
1258;"SP"
1259;"SP"
1262;"SP"
1290;"SP"
1301;"SP"
1302;"SP"
1303;"SP"
1304;"SP"
1305;"SP"
1306;"SP"
1307;"SP"
1308;"SP"
1309;"SP"
1310;"SP"
1311;"SP"
1312;"SP"
1313;"SP"
1314;"SP"
1315;"SP"
1316;"SP"
1317;"SP"
1318;"SP"
1319;"SP"
1320;"SP"
1321;"SP"
1322;"SP"
1323;"SP"
1324;"SP"
1325;"SP"
1326;"SP"
1327;"SP"
1328;"SP"
1329;"SP"
1330;"SP"
1331;"SP"
1332;"SP"
1333;"SP"
1401;"SP"
1402;"SP"
1403;"SP"
1404;"SP"
1405;"SP"
1406;"SP"
1407;"SP"
1408;"SP"
1409;"SP"
1410;"SP"
1411;"SP"
1412;"SP"
1413;"SP"
1414;"SP"
1415;"SP"
1416;"SP"
1417;"SP"
1418;"SP"
1419;"SP"
1420;"SP"
1421;"SP"
1422;"SP"
1423;"SP"
1424;"SP"
1425;"SP"
1426;"SP"
1427;"SP"
1428;"SP"
1429;"SP"
1430;"SP"
1431;"SP"
1432;"SP"
1433;"SP"
1434;"SP"
1435;"SP"
1436;"SP"
1437;"SP"
1438;"SP"
1439;"SP"
1440;"SP"
1441;"SP"
1442;"SP"
1443;"SP"
1444;"SP"
1445;"SP"
1446;"SP"
1447;"SP"
1448;"SP"
1449;"SP"
1450;"SP"
1451;"SP"
1452;"SP"
1453;"SP"
1454;"SP"
1455;"SP"
1456;"SP"
1457;"SP"
1472;"SP"
1489;"SP"
1501;"SP"
1502;"SP"
1503;"SP"
1504;"SP"
1505;"SP"
1506;"SP"
1507;"SP"
1508;"SP"
1509;"SP"
1510;"SP"
1511;"SP"
1512;"SP"
1513;"SP"
1514;"SP"
1516;"SP"
1517;"SP"
1518;"SP"
1519;"SP"
1520;"SP"
1521;"SP"
1522;"SP"
1523;"SP"
1524;"SP"
1525;"SP"
1526;"SP"
1527;"SP"
1528;"SP"
1529;"SP"
1530;"SP"
1531;"SP"
1532;"SP"
1533;"SP"
1534;"SP"
1535;"SP"
1536;"SP"
1537;"SP"
1538;"SP"
1539;"SP"
1540;"SP"
1541;"SP"
1542;"SP"
1543;"SP"
1544;"SP"
1545;"SP"
1546;"SP"
1547;"SP"
1548;"SP"
1549;"SP"
1550;"SP"
1551;"SP"
1552;"SP"
1553;"SP"
2009;"SP"
2010;"SP"
2011;"SP"
2012;"SP"
2013;"SP"
2016;"SP"
2017;"SP"
2018;"SP"
2019;"SP"
2020;"SP"
2021;"SP"
2022;"SP"
2028;"SP"
2029;"SP"
2030;"SP"
2031;"SP"
2032;"SP"
2033;"SP"
2034;"SP"
2035;"SP"
2036;"SP"
2037;"SP"
2038;"SP"
2039;"SP"
2040;"SP"
2041;"SP"
2042;"SP"
2043;"SP"
2044;"SP"
2045;"SP"
2046;"SP"
2047;"SP"
2049;"SP"
2050;"SP"
2051;"SP"
2052;"SP"
2053;"SP"
2054;"SP"
2055;"SP"
2056;"SP"
2060;"SP"
2064;"SP"
2065;"SP"
2066;"SP"
2067;"SP"
2068;"SP"
2069;"SP"
2071;"SP"
2072;"SP"
2073;"SP"
2074;"SP"
2075;"SP"
2076;"SP"
2077;"SP"
2078;"SP"
2079;"SP"
2080;"SP"
2081;"SP"
2082;"SP"
2083;"SP"
2084;"SP"
2085;"SP"
2088;"SP"
2089;"SP"
2110;"SP"
2111;"SP"
2112;"SP"
2113;"SP"
2114;"SP"
2115;"SP"
2116;"SP"
2117;"SP"
2118;"SP"
2119;"SP"
2120;"SP"
2121;"SP"
2122;"SP"
2123;"SP"
2124;"SP"
2125;"SP"
2126;"SP"
2127;"SP"
2128;"SP"
2129;"SP"
2130;"SP"
2131;"SP"
2132;"SP"
2133;"SP"
2134;"SP"
2135;"SP"
2136;"SP"
2137;"SP"
2138;"SP"
2139;"SP"
2140;"SP"
2141;"SP"
2142;"SP"
2143;"SP"
2144;"SP"
2145;"SP"
2146;"SP"
2147;"SP"
2150;"SP"
2151;"SP"
2152;"SP"
2161;"SP"
2162;"SP"
2166;"SP"
2167;"SP"
2168;"SP"
2169;"SP"
2170;"SP"
2174;"SP"
2175;"SP"
2176;"SP"
2177;"SP"
2178;"SP"
2179;"SP"
2180;"SP"
2181;"SP"
2185;"SP"
2186;"SP"
2187;"SP"
2188;"SP"
2189;"SP"
