"COUNT(DISTINCT o.order_id)",product_category_name_english,delivery_status
297,audio,"delivered 1 day early"
2,audio,"delivered extremely early"
10,audio,"delivered on time"
1,audio,"delivered with 1 day delay"
2,audio,"delivered with 2 day delay"
5,audio,"delivered with 3 day delay"
33,audio,"delivered with extreme delay"
350,audio,NULL
161,computers,"delivered 1 day early"
4,computers,"delivered extremely early"
6,computers,"delivered on time"
1,computers,"delivered with 1 day delay"
9,computers,"delivered with extreme delay"
181,computers,NULL
5920,computers_accessories,"delivered 1 day early"
160,computers_accessories,"delivered extremely early"
192,computers_accessories,"delivered on time"
52,computers_accessories,"delivered with 1 day delay"
38,computers_accessories,"delivered with 2 day delay"
34,computers_accessories,"delivered with 3 day delay"
293,computers_accessories,"delivered with extreme delay"
6689,computers_accessories,NULL
2236,electronics,"delivered 1 day early"
33,electronics,"delivered extremely early"
89,electronics,"delivered on time"
32,electronics,"delivered with 1 day delay"
19,electronics,"delivered with 2 day delay"
12,electronics,"delivered with 3 day delay"
129,electronics,"delivered with extreme delay"
2550,electronics,NULL
3695,telephony,"delivered 1 day early"
106,telephony,"delivered extremely early"
107,telephony,"delivered on time"
48,telephony,"delivered with 1 day delay"
24,telephony,"delivered with 2 day delay"
26,telephony,"delivered with 3 day delay"
193,telephony,"delivered with extreme delay"
4199,telephony,NULL
